,start_time,end_time,p_values
157,1369057261.148438,1369057268.293945,0.0
158,1369057328.939698,1369057337.467773,0.0
159,1369057630.598633,1369057637.722656,0.0
160,1369057704.908448,1369057713.149414,0.0
161,1369057727.868653,1369057735.845703,0.0
162,1369057782.760254,1369057791.665527,0.0
163,1369057866.328614,1369057875.723632,0.0
164,1369057997.331055,1369058005.507812,0.0
165,1369058598.709961,1369058607.555664,0.0
166,1369058617.5,1369058625.5,0.0
167,1369058938.174805,1369058946.894531,0.0
168,1369059418.14087,1369059425.224853,0.0
169,1369059519.025391,1369059528.209961,0.0
170,1369059879.860596,1369059890.067382,0.0
171,1369059955.758789,1369059963.459961,0.0
172,1369060096.757325,1369060103.960937,0.0
173,1369060264.091797,1369060273.830078,0.0
174,1369060443.461426,1369060451.1875,0.0
175,1369060898.355957,1369060907.070312,0.0
176,1369061056.289063,1369061063.658935,0.0
177,1369061324.50586,1369061335.666137,0.000129
178,1369061340.230469,1369061348.226806,0.66097
179,1369061774.57544,1369061781.754882,1.0
180,1369061967.390625,1369061975.522949,1e-06
181,1369061996.476563,1369062004.649414,1.0
182,1369062409.261719,1369062417.933471,0.017662
183,1369063003.269532,1369063012.46875,0.0
184,1369063930.137207,1369063938.720459,0.387156
185,1369064056.459595,1369064063.597656,1.0
186,1369064390.874878,1369064398.640625,0.009452
187,1369065158.808594,1369065166.480468,0.9974
188,1369065337.144043,1369065344.835449,1.0
189,1369065536.611817,1369065546.80664,0.999985
190,1369065798.703858,1369065808.896484,1.0
191,1369066112.773438,1369066123.721679,1.0
192,1369066163.189576,1369066171.251464,0.000331
193,1369066181.279297,1369066188.532226,1.0
194,1369066194.189942,1369066203.419677,0.06041
195,1369066241.664795,1369066249.975097,1.0
196,1369066533.125,1369066540.260742,1.0
197,1369067416.839844,1369067424.754272,1e-06
198,1369067657.567017,1369067667.702636,0.00037
199,1369068173.50586,1369068180.678711,1.0
200,1369068193.564209,1369068200.960937,1.0
201,1369068239.21875,1369068246.520996,0.0
202,1369068577.454834,1369068585.666015,0.946279
203,1369068752.199952,1369068762.018554,0.050795
204,1369068866.560547,1369068873.726562,0.0
205,1369068893.234253,1369068901.762329,1.0
206,1369068933.5,1369068940.536132,1.0
207,1369069173.148438,1369069181.158935,1.0
208,1369069953.571289,1369069960.638672,0.976546
209,1369069986.134766,1369069993.738769,0.999994
210,1369070441.583008,1369070449.85498,1.0
211,1369070697.074219,1369070707.014648,0.181918
212,1369070908.705567,1369070916.871582,0.0
213,1369071067.621582,1369071074.816406,1.0
214,1369071082.875,1369071090.096435,0.0
