GPStime,snr,ifo,label
1247654223.541,12.965,L1,Blip
1250633820.776,32.538,L1,Blip
1245347949.28,7.623,L1,Blip
1247988340.905,33.503,L1,Blip
1252799448.595,48.103,L1,Blip
1244623595.696,24.088,L1,Blip
1249061312.897,17.715,L1,Blip
1253219964.757,9.998,L1,Blip
1248236760.08,11.104,L1,Blip
1241586028.727,44.182,L1,Blip
1242778905.685,27.04,L1,Blip
1248824732.103,19.072,L1,Blip
1238807503.14,62.799,L1,Blip
1248150970.706,21.218,L1,Blip
1248751751.447,19.937,L1,Blip
1246599621.482,13.932,L1,Blip
1242561136.421,30.774,L1,Blip
1244661874.835,42.552,L1,Blip
1243944543.163,9.727,L1,Blip
1244534502.501,31.991,L1,Blip
1253085536.255,58.692,L1,Blip
1246764765.824,7.653,L1,Blip
1248847325.805,17.725,L1,Blip
1242665819.228,8.552,L1,Blip
1250258787.958,28.332,L1,Blip
1253858855.408,16.808,L1,Blip
1239444202.486,18.204,L1,Blip
1238383715.196,10.013,L1,Blip
1246023441.55,10.087,L1,Blip
1239740760.352,20.737,L1,Blip
1252239184.185,26.638,L1,Blip
1241393974.939,12.858,L1,Blip
1249237905.685,16.086,L1,Blip
1239146490.645,42.75,L1,Blip
1249971577.637,7.86,L1,Blip_Low_Frequency
1242247290.098,10.098,L1,Blip_Low_Frequency
1241117047.754,8.669,L1,Blip_Low_Frequency
1249407185.863,8.066,L1,Blip_Low_Frequency
1250412887.428,11.374,L1,Blip_Low_Frequency
1241152339.486,7.541,L1,Blip_Low_Frequency
1251810063.729,8.496,L1,Blip_Low_Frequency
1253778031.338,9.154,L1,Blip_Low_Frequency
1251671607.762,8.475,L1,Blip_Low_Frequency
1249474927.912,9.751,L1,Blip_Low_Frequency
1240824741.293,9.518,L1,Blip_Low_Frequency
1248714977.943,9.34,L1,Blip_Low_Frequency
1246778675.465,9.201,L1,Blip_Low_Frequency
1240947038.637,8.216,L1,Blip_Low_Frequency
1252522036.389,12.753,L1,Blip_Low_Frequency
1241451695.6,8.431,L1,Blip_Low_Frequency
1249802579.096,8.105,L1,Blip_Low_Frequency
1247772366.496,14.233,L1,Blip_Low_Frequency
